user_id,comic_id,favorite,wishlist,read,view,purchase,score,title
1,1,0,0,1,1,0,1.79,Iron Man (2020) #5
1,2,0,0,1,0,0,1.43,Aquaman (2018) #6
1,3,0,0,1,1,1,3.21,Attack on Titan Vol.3
1,4,0,0,0,0,0,0.0,300
1,5,1,0,0,1,1,2.86,Doctor Strange (2016) #3
1,6,1,0,1,1,1,4.29,Shazam! (2019) #1
1,7,0,0,1,0,0,1.43,Naruto Vol.1
1,8,0,1,0,1,0,1.07,Kick-Ass Vol.1
1,9,1,1,0,1,1,3.57,Thor: God of Thunder
1,10,0,0,0,0,0,0.0,Wonder Woman (2017) #4
1,11,1,0,1,1,0,2.86,Nichijou Vol.1
1,12,1,0,1,1,1,4.29,Invincible Vol.2
1,13,1,0,0,1,0,1.43,Captain America (2019) #10
1,14,1,0,0,0,0,1.07,The Joker: Killing Joke
1,15,1,0,0,0,0,1.07,My Hero Academia Vol.1
1,16,0,1,1,1,1,3.93,Watchmen
1,17,0,0,1,1,1,3.21,Thor: God of Thunder
1,18,1,0,1,1,0,2.86,Aquaman (2018) #6
1,19,0,0,0,0,0,0.0,K-On! Vol.2
1,20,1,1,1,1,1,5.0,Saga Vol.1
1,21,0,1,1,1,1,3.93,Captain America (2019) #10
1,22,0,0,0,0,0,0.0,Wonder Woman (2017) #4
1,23,0,0,0,0,1,1.43,One Piece Vol.2
1,24,0,0,1,1,0,1.79,Kick-Ass Vol.1
1,25,0,0,0,0,0,0.0,Thor: God of Thunder
1,26,0,0,0,1,0,0.36,Wonder Woman (2017) #4
1,27,1,1,1,0,1,4.64,One Piece Vol.2
1,28,1,1,0,1,1,3.57,Saga Vol.1
1,29,1,1,1,0,1,4.64,Doctor Strange (2016) #3
1,30,0,0,0,0,1,1.43,Shazam! (2019) #1
1,31,0,1,0,0,0,0.71,Attack on Titan Vol.3
1,32,1,0,1,0,0,2.5,Saga Vol.1
1,33,0,0,1,1,1,3.21,Venom (2018) #1
1,34,0,1,1,1,0,2.5,The Joker: Killing Joke
1,35,0,1,0,1,0,1.07,Naruto Vol.1
1,36,0,0,1,1,1,3.21,300
1,37,0,1,1,1,1,3.93,X-Men: Dark Phoenix Saga
1,38,1,1,0,1,0,2.14,Wonder Woman (2017) #4
1,39,0,1,1,0,1,3.57,Nichijou Vol.1
1,40,1,0,0,1,1,2.86,Sin City: The Hard Goodbye
1,41,1,1,1,0,0,3.21,Doctor Strange (2016) #3
1,42,0,1,0,0,1,2.14,The Flash: Rebirth
1,43,0,0,1,1,0,1.79,One Piece Vol.2
1,44,0,1,1,1,1,3.93,Hellboy: Seed of Destruction
1,45,0,0,1,0,0,1.43,Black Panther (2018) #2
1,46,1,0,1,0,0,2.5,Wonder Woman (2017) #4
1,47,1,1,0,0,0,1.79,Naruto Vol.1
